Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,91.276,-70.597492,-90,top
C2,0.1uF,C_0402_1005Metric,88.9,-89.69,-90,top
C3,0.1uF,C_0402_1005Metric,145.034,-89.679672,-90,top
C4,0.1uF,C_0402_1005Metric,88.9,-96.52,-90,top
C5,0.1uF,C_0402_1005Metric,159.794,-105.664,0,top
C6,0.1uF,C_0402_1005Metric,160.02,-116.84,-90,top
C7,0.1uF,C_0402_1005Metric,160.02,-134.62,-90,top
MICRO_SD1,TF-01A,TF-01A,88.646,-59.111,180,top
Q1,MMS9013-H-TP,SOT-23,152.4,-129.54,180,top
R1,10k,R_0603_1608Metric,85.661,-70.541,90,top
R2,10k,R_0603_1608Metric,87.566,-70.541,90,top
R3,10k,R_0603_1608Metric,89.471,-70.541,90,top
R4,10k,R_0603_1608Metric,93.091,-70.541,90,top
R5,10k,R_0603_1608Metric,95.106,-70.541,90,top
R6,10k,R_0603_1608Metric,153.162,-120.459,-90,top
R7,220,R_0805_2012Metric,156.718,-120.396,-90,top
